sample_id,image_path,ground_truth,stay_positive_score,stay_positive_postcal_prediction,official_fsd_prediction,fsd_finetune_v1_prediction,fsd_finetune_v2_prediction,conflict_count,conflict_type,priority_score,case_reason,case_id
adm_auto_1438,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/315_adm_7.PNG,fake,0.5252402873153506,fake,real,real,real,3,strong_conflict,30.136422,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_11
adm_auto_2693,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/503_adm_85.PNG,fake,0.5238951223644289,fake,real,real,real,3,strong_conflict,30.135077,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_12
adm_auto_2537,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/480_adm_85.PNG,fake,0.519792714333759,fake,real,real,real,3,strong_conflict,30.130975,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_13
adm_auto_2573,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/486_adm_85.PNG,fake,0.5196907710063594,fake,real,real,real,3,strong_conflict,30.130873,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_14
adm_auto_1102,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/265_adm_7.PNG,fake,0.51770514183826,fake,real,real,real,3,strong_conflict,30.128887,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_15
adm_auto_2052,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/407_adm_91.PNG,fake,0.5164208799257116,fake,real,real,real,3,strong_conflict,30.127603,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_16
adm_auto_2606,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/491_adm_174.PNG,fake,0.5150262156617532,fake,real,real,real,3,strong_conflict,30.126208,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_17
adm_auto_2408,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/461_adm_174.PNG,fake,0.5135849057322546,fake,real,real,real,3,strong_conflict,30.124767,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_18
adm_auto_2382,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/457_adm_91.PNG,fake,0.5124717704709593,fake,real,real,real,3,strong_conflict,30.123654,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_19
adm_auto_2235,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/435_adm_34.PNG,fake,0.5074504909926786,fake,real,real,real,3,strong_conflict,30.118632,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_20
